img_name,x1,y1,x2,y2,class
2488500_1112000_2489000_1112500.tiff,266,2400,533,2666,pitch
2488500_1112000_2489000_1112500.tiff,266,3866,1333,5066,pitch
2492000_1119000_2492500_1119500.tiff,1200,3466,2133,4933,pitch
2492000_1119500_2492500_1120000.tiff,666,133,933,533,pitch
2492500_1121000_2493000_1121500.tiff,4400,933,4666,1333,pitch
2492500_1121000_2493000_1121500.tiff,4400,533,4800,933,pitch
2492500_1121000_2493000_1121500.tiff,4666,1066,4933,1466,pitch
2492500_1121000_2493000_1121500.tiff,4533,1066,4800,1466,pitch
2492500_1121000_2493000_1121500.tiff,800,2533,1466,3066,pitch
2492500_1121000_2493000_1121500.tiff,4666,266,4933,666,pitch
2492500_1121000_2493000_1121500.tiff,4266,1333,4666,1733,pitch
2495000_1120500_2495500_1121000.tiff,3333,1866,3600,2133,pitch
2495000_1120500_2495500_1121000.tiff,4000,533,4400,933,pitch
2495000_1120500_2495500_1121000.tiff,1466,0,2533,266,pitch
2495000_1120500_2495500_1121000.tiff,2533,266,2933,666,pitch
2495500_1122500_2496000_1123000.tiff,1466,1600,1733,1866,pitch
2496500_1115000_2497000_1115500.tiff,1733,4533,2400,5066,pitch
2496500_1115000_2497000_1115500.tiff,2666,1733,2933,2000,pitch
2496500_1115000_2497000_1115500.tiff,2800,2000,3333,2533,pitch
2496500_1115000_2497000_1115500.tiff,400,3066,800,3466,pitch
2496500_1115000_2497000_1115500.tiff,3066,0,3333,133,pitch
2496500_1115000_2497000_1115500.tiff,3333,4666,3600,5066,pitch
2496500_1115000_2497000_1115500.tiff,3066,2400,3866,3333,pitch
2498000_1111500_2498500_1112000.tiff,1200,1200,2533,2266,pitch
2498000_1111500_2498500_1112000.tiff,1066,2266,2266,3200,pitch
2498000_1111500_2498500_1112000.tiff,3466,400,3866,800,pitch
2498000_1111500_2498500_1112000.tiff,3333,1066,3733,1600,pitch
2498000_1111500_2498500_1112000.tiff,3733,0,4000,400,pitch
2498000_1112000_2498500_1112500.tiff,1866,4533,2266,4800,pitch
2498000_1115000_2498500_1115500.tiff,3466,4400,4533,5066,pitch
2498000_1115000_2498500_1115500.tiff,3066,2933,3600,3333,pitch
2498000_1121000_2498500_1121500.tiff,4266,3866,4533,4133,pitch
2498000_1121000_2498500_1121500.tiff,3866,3733,4533,4400,pitch
2498000_1121000_2498500_1121500.tiff,3866,1066,4800,2133,pitch
2498000_1121000_2498500_1121500.tiff,0,2933,266,3200,pitch
2498000_1121000_2498500_1121500.tiff,4133,2533,5066,3200,pitch
2498000_1129500_2498500_1130000.tiff,1066,1200,2000,2400,pitch
2498000_1129500_2498500_1130000.tiff,2000,3733,2933,5200,pitch
2498000_1129500_2498500_1130000.tiff,533,2000,1466,3200,pitch
2498500_1120000_2499000_1120500.tiff,4400,4533,4666,4800,pitch
2498500_1120000_2499000_1120500.tiff,666,3600,1466,4400,pitch
2498500_1120000_2499000_1120500.tiff,1466,4000,2000,4400,pitch
2498500_1120000_2499000_1120500.tiff,4133,3333,4533,3733,pitch
2498500_1120000_2499000_1120500.tiff,1333,4533,1866,5066,pitch
2499500_1130000_2500000_1130500.tiff,800,4400,1466,4933,pitch
2500500_1113000_2501000_1113500.tiff,2000,2933,3200,4266,pitch
2500500_1113000_2501000_1113500.tiff,400,2400,1466,3866,pitch
2500500_1123000_2501000_1123500.tiff,2933,2533,3333,2933,pitch
2500500_1123000_2501000_1123500.tiff,3466,533,3866,800,pitch
2500500_1123000_2501000_1123500.tiff,0,4400,133,4800,pitch
2500500_1123000_2501000_1123500.tiff,933,2133,1466,2666,pitch
2500500_1123000_2501000_1123500.tiff,2400,266,2933,800,pitch
2500500_1123000_2501000_1123500.tiff,1733,2000,2533,2533,pitch
2500500_1124500_2501000_1125000.tiff,4533,4666,4800,4933,pitch
2500500_1124500_2501000_1125000.tiff,3866,4266,4533,4800,pitch
2500500_1124500_2501000_1125000.tiff,133,3200,800,3733,pitch
2501000_1111500_2501500_1112000.tiff,4666,933,4933,1333,pitch
2501000_1111500_2501500_1112000.tiff,3200,1866,3866,2400,pitch
2501000_1111500_2501500_1112000.tiff,3466,400,4266,1333,pitch
2501000_1124500_2501500_1125000.tiff,3200,0,3466,133,pitch
2501000_1124500_2501500_1125000.tiff,4266,0,4800,400,pitch
2501500_1126000_2502000_1126500.tiff,1466,2933,1733,3200,pitch
2501500_1126000_2502000_1126500.tiff,800,3466,1066,3733,pitch
2501500_1126000_2502000_1126500.tiff,933,3600,1200,3866,pitch
2501500_1126000_2502000_1126500.tiff,0,3733,266,4000,pitch
2501500_1126000_2502000_1126500.tiff,133,3200,666,4133,pitch
2503000_1116500_2503500_1117000.tiff,4000,400,5066,1600,pitch
2503000_1116500_2503500_1117000.tiff,2266,800,2666,1466,pitch
2503000_1118500_2503500_1119000.tiff,2533,3333,3466,4000,pitch
2503000_1141000_2503500_1141500.tiff,3466,4533,3866,4933,pitch
2503500_1116000_2504000_1116500.tiff,3200,4000,3466,4266,pitch
2503500_1116000_2504000_1116500.tiff,3066,4400,3333,4666,pitch
2503500_1116000_2504000_1116500.tiff,0,2133,400,2933,pitch
2503500_1116000_2504000_1116500.tiff,400,1733,1600,2666,pitch
2503500_1116000_2504000_1116500.tiff,3333,3333,4533,4666,pitch
2503500_1116000_2504000_1116500.tiff,800,800,2266,2000,pitch
2503500_1116000_2504000_1116500.tiff,4000,1733,4666,2133,pitch
2503500_1116000_2504000_1116500.tiff,3333,4533,3600,4800,pitch
2503500_1116500_2504000_1117000.tiff,4666,2000,4933,2266,pitch
2503500_1116500_2504000_1117000.tiff,4266,4533,4533,4800,pitch
2503500_1116500_2504000_1117000.tiff,133,3066,400,3466,pitch
2503500_1133500_2504000_1134000.tiff,4000,2000,5066,2933,pitch
2503500_1133500_2504000_1134000.tiff,3066,1466,4000,2666,pitch
2504000_1139000_2504500_1139500.tiff,0,4133,400,4666,pitch
2504500_1122500_2505000_1123000.tiff,2000,4000,2400,4266,pitch
2504500_1122500_2505000_1123000.tiff,2266,2666,2533,2933,pitch
