img_name,x1,y1,x2,y2
2488500_1112000_2489000_1112500.tiff,1066,2533,1600,3066
2489500_1110000_2490000_1110500.tiff,0,4000,400,4533
2492000_1119000_2492500_1119500.tiff,0,2000,400,2533
2498000_1111500_2498500_1112000.tiff,1733,0,3066,666
2498000_1115000_2498500_1115500.tiff,266,1200,1600,3333
2498000_1129500_2498500_1130000.tiff,2800,1466,3733,2400
2500500_1113000_2501000_1113500.tiff,1333,2800,2133,3733
2501000_1124500_2501500_1125000.tiff,0,3466,533,4533
2501500_1126000_2502000_1126500.tiff,1333,266,2266,1333
2502000_1129000_2502500_1129500.tiff,800,4266,1466,5066
2503000_1116500_2503500_1117000.tiff,1733,1466,3466,2666
2503000_1116500_2503500_1117000.tiff,2000,1466,3066,2400
2503000_1118500_2503500_1119000.tiff,2666,1333,3733,2400
2503500_1116000_2504000_1116500.tiff,0,0,1066,933
2503500_1116000_2504000_1116500.tiff,3466,3466,4533,4933
2503500_1116500_2504000_1117000.tiff,0,3866,1200,4933
2503500_1116500_2504000_1117000.tiff,0,1200,1066,2266
2503500_1132000_2504000_1132500.tiff,3200,4133,3733,4800
2504500_1122500_2505000_1123000.tiff,2266,1600,3066,2666
2505000_1119000_2505500_1119500.tiff,0,800,933,2133
2505000_1119000_2505500_1119500.tiff,3733,3333,4533,4400
2505000_1160000_2505500_1160500.tiff,3333,1466,3866,2133
2505000_1160000_2505500_1160500.tiff,1466,3466,2400,4266
2505000_1160500_2505500_1161000.tiff,4000,4266,4933,5066
2505500_1116500_2506000_1117000.tiff,1600,1066,2800,2133
2506000_1137500_2506500_1138000.tiff,3333,1066,3733,1600
2506000_1142500_2506500_1143000.tiff,3733,0,4266,266
2506500_1124000_2507000_1124500.tiff,666,3066,1200,3733
2507000_1137000_2507500_1137500.tiff,3333,4133,5200,5066
2507500_1148000_2508000_1148500.tiff,2133,3733,2800,4400
2507500_1148000_2508000_1148500.tiff,1733,2800,2133,3200
2507500_1162000_2508000_1162500.tiff,4133,4000,4666,4400
2508500_1119500_2509000_1120000.tiff,3466,3200,4000,3733
2508500_1119500_2509000_1120000.tiff,800,666,1466,1733
2509000_1141000_2509500_1141500.tiff,2266,-134,3866,1200
2512000_1145500_2512500_1146000.tiff,2933,2533,3466,3200
2513500_1151000_2514000_1151500.tiff,533,800,1200,1466
2515000_1152000_2515500_1152500.tiff,1066,1333,1466,1733
2518000_1150000_2518500_1150500.tiff,0,3466,1066,4400
2521000_1163500_2521500_1164000.tiff,3333,0,4133,533
2521000_1166500_2521500_1167000.tiff,666,933,1200,1466
2521500_1149000_2522000_1149500.tiff,4266,266,4800,1066
2522000_1148500_2522500_1149000.tiff,0,0,266,533
2523000_1158500_2523500_1159000.tiff,133,133,666,800
2524000_1161500_2524500_1162000.tiff,1600,400,2000,666
2524000_1166000_2524500_1166500.tiff,3600,1200,4000,1466
2524500_1177000_2525000_1177500.tiff,533,2133,933,2533
2525500_1160500_2526000_1161000.tiff,1466,4000,2400,4400
2525500_1163000_2526000_1163500.tiff,0,2933,266,3333
2525500_1163000_2526000_1163500.tiff,2533,3866,2933,4400
2526500_1155000_2527000_1155500.tiff,0,0,933,133
2527500_1172500_2528000_1173000.tiff,2800,1333,3333,1733
2527500_1191000_2528000_1191500.tiff,1600,1333,2400,2666
2528000_1159500_2528500_1160000.tiff,4266,3733,4800,4400
2528000_1177500_2528500_1178000.tiff,2133,0,2400,266
2529000_1153000_2529500_1153500.tiff,1066,1866,2000,2666
2529500_1182500_2530000_1183000.tiff,1600,4000,2266,4800
2532000_1158500_2532500_1159000.tiff,3733,1600,4133,2000
2532000_1193500_2532500_1194000.tiff,4133,3600,4800,4533
2532500_1186500_2533000_1187000.tiff,666,1866,1466,2533
2533500_1156000_2534000_1156500.tiff,0,1333,1600,3733
2533500_1172500_2534000_1173000.tiff,3466,2000,4533,2666
2533500_1181000_2534000_1181500.tiff,266,266,800,800
2535500_1155000_2536000_1155500.tiff,2800,400,3600,800
2535500_1165000_2536000_1165500.tiff,2400,3600,2800,4000
2535500_1180500_2536000_1181000.tiff,4133,3066,4533,3466
2536000_1152000_2536500_1152500.tiff,0,800,2133,4000
2536000_1167500_2536500_1168000.tiff,0,0,400,533
2536000_1172500_2536500_1173000.tiff,1466,933,2000,1333
2537500_1160500_2538000_1161000.tiff,2133,4133,2533,4666
2537500_1162500_2538000_1163000.tiff,2800,3466,3600,4133
2538000_1156000_2538500_1156500.tiff,2533,0,3200,666
2538000_1188500_2538500_1189000.tiff,3733,3733,4266,4133
2538500_1165500_2539000_1166000.tiff,1066,533,2000,1466
2538500_1173500_2539000_1174000.tiff,1066,3333,1733,3733
2538500_1173500_2539000_1174000.tiff,3600,666,4133,1200
2540500_1187500_2541000_1188000.tiff,266,3866,933,4400
2541000_1155000_2541500_1155500.tiff,2933,266,4266,1733
2541000_1198500_2541500_1199000.tiff,666,2800,2266,4133
2542000_1152000_2542500_1152500.tiff,1733,2400,2666,3200
2542000_1164500_2542500_1165000.tiff,1466,3466,1866,4133
2542500_1151000_2543000_1151500.tiff,1600,1200,2933,2266
2542500_1188000_2543000_1188500.tiff,1866,1066,2800,2133
2542500_1188000_2543000_1188500.tiff,4133,2000,5066,3066
2544000_1207000_2544500_1207500.tiff,0,2800,533,3333
2544500_1189000_2545000_1189500.tiff,3466,3066,4400,4133
2545000_1170000_2545500_1170500.tiff,2400,933,2800,1466
2546000_1167500_2546500_1168000.tiff,1200,4000,1866,4666
2547000_1158000_2547500_1158500.tiff,4000,933,4400,1333
2547500_1177000_2548000_1177500.tiff,2266,1466,2666,1866
2548000_1181500_2548500_1182000.tiff,266,1466,933,2000
2549000_1193500_2549500_1194000.tiff,2666,3466,3200,4000
2549000_1194000_2549500_1194500.tiff,3733,0,4800,1600
2549500_1150500_2550000_1151000.tiff,3333,1866,4266,2533
2550500_1173000_2551000_1173500.tiff,0,3733,800,4800
2551500_1197000_2552000_1197500.tiff,3866,133,4533,800
2552000_1170500_2552500_1171000.tiff,2133,533,2666,933
2552000_1170500_2552500_1171000.tiff,933,2666,2400,3866
2553000_1147000_2553500_1147500.tiff,0,4000,800,4533
2553500_1165000_2554000_1165500.tiff,1600,3733,2400,4400
2553500_1165000_2554000_1165500.tiff,0,3866,533,4400
2554500_1145500_2555000_1146000.tiff,-134,0,1600,1600
2554500_1173500_2555000_1174000.tiff,2400,933,3200,1600
2554500_1173500_2555000_1174000.tiff,666,2266,1333,3066
2554500_1173500_2555000_1174000.tiff,3066,2533,3600,3066
2554500_1188500_2555000_1189000.tiff,1733,2266,2666,2933
2554500_1218000_2555000_1218500.tiff,0,1600,4266,5066
2556000_1206500_2556500_1207000.tiff,3733,1866,4800,2800
2556500_1172000_2557000_1172500.tiff,3733,1200,4133,1600
